name,prices,image_url
Loose Red Tomatoes,"{'New World': {'price': np.float64(4.99), 'link': 'https://www.newworld.co.nz/shop/product/5040098_kgm_000nw?name=-loose-red-tomatoes'}, ""Pak'nSave"": {'price': np.float64(4.49), 'link': 'https://www.paknsave.co.nz/shop/product/5040098_kgm_000pns?name=-loose-red-tomatoes'}, 'Woolworths': {'price': np.float64(0.92), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=311488&name=essentials-diced-tomatoes'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040098.png?w=384
Bluebird Originals Ready Salted Potato Chips,"{'New World': {'price': np.float64(2.79), 'link': 'https://www.newworld.co.nz/shop/product/5010717_ea_000nw?name=bluebird-originals-ready-salted-potato-chips'}, ""Pak'nSave"": {'price': np.float64(2.29), 'link': 'https://www.paknsave.co.nz/shop/product/5010717_ea_000pns?name=bluebird-originals-ready-salted-potato-chips'}, 'Woolworths': {'price': np.float64(2.79), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=297515&name=bluebird-originals-chips-ready-salted'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010717.png?w=384
Gold Kiwifruit,"{'New World': {'price': np.float64(8.99), 'link': 'https://www.newworld.co.nz/shop/product/5039977_kgm_000nw?name=-gold-kiwifruit'}, ""Pak'nSave"": {'price': np.float64(5.99), 'link': 'https://www.paknsave.co.nz/shop/product/5009653_ea_000pns?name=whittaker%27s-almond-gold-33%25-cocoa-milk-chocolate-block'}, 'Woolworths': {'price': np.float64(5.0), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=212041&name=woolworths-kiwifruit-red'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039977.png?w=384
Pams Baby Spinach,"{'New World': {'price': np.float64(3.99), 'link': 'https://www.newworld.co.nz/shop/product/5040464_ea_000nw?name=pams-baby-spinach'}, ""Pak'nSave"": {'price': np.float64(3.99), 'link': 'https://www.paknsave.co.nz/shop/product/5040464_ea_000pns?name=pams-baby-spinach'}, 'Woolworths': {'price': np.float64(3.3), 'link': 'https://www.woolworths.co.nz/shop/productgroup/188169'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040464.png?w=384
Tip Top Supersoft White Super Thick Bread,"{'New World': {'price': np.float64(4.09), 'link': 'https://www.newworld.co.nz/shop/product/5023801_ea_000nw?name=tip-top-supersoft-white-super-thick-bread'}, ""Pak'nSave"": {'price': np.float64(3.69), 'link': 'https://www.paknsave.co.nz/shop/product/5023801_ea_000pns?name=tip-top-supersoft-white-super-thick-bread'}, 'Woolworths': {'price': np.float64(3.1), 'link': 'https://www.woolworths.co.nz/shop/productgroup/80842'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5023801.png?w=384
Yellow Agria Potatoes,"{'New World': {'price': np.float64(2.99), 'link': 'https://www.newworld.co.nz/shop/product/5045841_kgm_000nw?name=-yellow-agria-potatoes'}, ""Pak'nSave"": {'price': np.float64(2.79), 'link': 'https://www.paknsave.co.nz/shop/product/5045841_kgm_000pns?name=-yellow-agria-potatoes'}, 'Woolworths': {'price': np.float64(7.9), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=143465&name=fresh-fruit-nectarines-yellow-flesh-large'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045841.png?w=384
Freya's Tuscan Mixed Grain Bread,"{'New World': {'price': np.float64(4.39), 'link': 'https://www.newworld.co.nz/shop/product/5025749_ea_000nw?name=freya%27s-tuscan-mixed-grain-bread'}, ""Pak'nSave"": {'price': np.float64(4.09), 'link': 'https://www.paknsave.co.nz/shop/product/5025749_ea_000pns?name=freya%27s-tuscan-mixed-grain-bread'}, 'Woolworths': {'price': np.float64(4.39), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=275514&name=freyas-toast-bread-tuscan-mixed-grain'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5025749.png?w=384
Freya's Swiss Soya Linseed Bread,"{'New World': {'price': np.float64(4.39), 'link': 'https://www.newworld.co.nz/shop/product/5025751_ea_000nw?name=freya%27s-swiss-soya-linseed-bread'}, ""Pak'nSave"": {'price': np.float64(4.09), 'link': 'https://www.paknsave.co.nz/shop/product/5025751_ea_000pns?name=freya%27s-swiss-soya-linseed-bread'}, 'Woolworths': {'price': np.float64(4.09), 'link': 'https://www.woolworths.co.nz/shop/productgroup/188100'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5025751.png?w=384
Royal Gala Apples,"{'New World': {'price': np.float64(5.99), 'link': 'https://www.newworld.co.nz/shop/product/5046525_kgm_000nw?name=-royal-gala-apples'}, ""Pak'nSave"": {'price': np.float64(2.29), 'link': 'https://www.paknsave.co.nz/shop/product/5046525_kgm_000pns?name=-royal-gala-apples'}, 'Woolworths': {'price': np.float64(4.49), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=155003&name=fresh-fruit-apples-royal-gala'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046525.png?w=384
Molenberg Original Sandwich Bread,"{'New World': {'price': np.float64(4.19), 'link': 'https://www.newworld.co.nz/shop/product/5026046_ea_000nw?name=molenberg-original-sandwich-bread'}, ""Pak'nSave"": {'price': np.float64(3.79), 'link': 'https://www.paknsave.co.nz/shop/product/5026046_ea_000pns?name=molenberg-original-sandwich-bread'}, 'Woolworths': {'price': np.float64(4.19), 'link': 'https://www.woolworths.co.nz/shop/productdetails?stockcode=275541&name=molenberg-sandwich-bread-original'}}",https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026046.png?w=384
