Name,Price,Image URL
Pams The Artist Series 2Ply Facial Tissues,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5294818.png?w=384
Pams Smoked Streaky Bacon,6.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5019426.png?w=384
North's White Toast Sliced Bread,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5015312.png?w=384
Galaxy Creamy Classic Camembert Cheese,3..79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004347.png?w=384
Eta Ripple Cut Ready Salted Potato Chips,2.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010826.png?w=384
Tip Top Supersoft Honeygrain Toast Bread,4.09,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5012295.png?w=384
Simply Milk Standard Milk,4.90,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5266784.png?w=384
Pams White 2Ply Paper Towels,3.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003810.png?w=384
Seedless Green Grapes,9.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046566.png?w=384
Sorbent Hypo-Allergenic 3 Ply Long Toilet Rolls,8.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5258982.png?w=384
French Stick,3.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5113430.png?w=384
North's Multigrain Toast Sliced Bread,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5015314.png?w=384
Diamond Spaghetti Pasta,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002634.png?w=384
Celery Half,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046509.png?w=384
Hot Cross Buns,6.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5104855.png?w=384
Round Cheese Rolls,4.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5104805.png?w=384
Nestle Reduced Cream Can,3.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002738.png?w=384
Green Courgettes,5.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039970.png?w=384
Sealord Chunky Style Tuna In Spring Water,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5019940.png?w=384
Nature's Fresh Multigrain Toast Bread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5012665.png?w=384
Pams Washed Agria Potatoes,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5264181.png?w=384
Red Watermelon,9.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046547.png?w=384
Pams Tasty Cheddar Cheese,11.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5268696.png?w=384
Baps,4.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5113854.png?w=384
Peeled Red Onions,6.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5223140.png?w=384
Anchor Blue Milk,1.61,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5090710.png?w=384
Kleenex Large &Thick 3 Ply Facial Tissues,4.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002350.png?w=384
NZ Skinless Chicken Thigh Fillet,25.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5115633.png?w=384
Nature's Fresh White Sandwich Bread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026066.png?w=384
Galaxy Mild & Creamy Brie Cheese,3..79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004346.png?w=384
Pams Diced Tomatoes In Juice,1.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5005955.png?w=384
Eta Ripple Cut Salt & Vinegar Potato Chips,2.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010827.png?w=384
Eta Ripple Cut Chicken Potato Chips,2.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010825.png?w=384
Pump Still Water,4..50,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002685.png?w=384
Pams White Sugar,3.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003885.png?w=384
Pams Standard UHT Milk,2.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004752.png?w=384
Granny Smith Apples,4.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039945.png?w=384
NZ Celery,3.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046562.png?w=384
Sealord Lemon Pepper Flavour Tuna,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009951.png?w=384
Wilcox Beta Bites Snacking Carrots,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5245226.png?w=384
Pams Sliced Peaches In Juice,1.87,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003848.png?w=384
Handee Ultra 2 Ply Paper Towels,4.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010350.png?w=384
